Date,StoreID,StoreName,Chain,ProductID,QuantitySold,CurrentStock
2023-10-24,STR-101,"Milano Centro",Chain A,PRD-001,2,2
2023-10-24,STR-101,"Milano Centro",Chain A,PRD-002,14,15
2023-10-24,STR-101,"Milano Centro",Chain A,PRD-003,16,2
2023-10-24,STR-101,"Milano Centro",Chain A,PRD-004,11,14
2023-10-24,STR-101,"Milano Centro",Chain A,PRD-005,13,5
2023-10-24,STR-101,"Milano Centro",Chain A,PRD-006,19,19
2023-10-24,STR-101,"Milano Centro",Chain A,PRD-007,14,29
2023-10-24,STR-101,"Milano Centro",Chain A,PRD-008,11,3
2023-10-24,STR-101,"Milano Centro",Chain A,PRD-009,3,25
2023-10-24,STR-101,"Milano Centro",Chain A,PRD-010,12,9
2023-10-24,STR-102,"Roma Est",Chain B,PRD-001,7,8
2023-10-24,STR-102,"Roma Est",Chain B,PRD-002,0,22
2023-10-24,STR-102,"Roma Est",Chain B,PRD-003,2,15
2023-10-24,STR-102,"Roma Est",Chain B,PRD-004,3,5
2023-10-24,STR-102,"Roma Est",Chain B,PRD-005,12,26
2023-10-24,STR-102,"Roma Est",Chain B,PRD-006,1,3
2023-10-24,STR-102,"Roma Est",Chain B,PRD-007,0,0
2023-10-24,STR-102,"Roma Est",Chain B,PRD-008,8,19
2023-10-24,STR-102,"Roma Est",Chain B,PRD-009,3,3
2023-10-24,STR-102,"Roma Est",Chain B,PRD-010,11,1
2023-10-24,STR-103,"Torino Nord",Chain A,PRD-001,0,0
2023-10-24,STR-103,"Torino Nord",Chain A,PRD-002,7,17
2023-10-24,STR-103,"Torino Nord",Chain A,PRD-003,16,45
2023-10-24,STR-103,"Torino Nord",Chain A,PRD-004,13,4
2023-10-24,STR-103,"Torino Nord",Chain A,PRD-005,6,20
2023-10-24,STR-103,"Torino Nord",Chain A,PRD-006,10,11
2023-10-24,STR-103,"Torino Nord",Chain A,PRD-007,13,25
2023-10-24,STR-103,"Torino Nord",Chain A,PRD-008,6,13
2023-10-24,STR-103,"Torino Nord",Chain A,PRD-009,11,27
2023-10-24,STR-103,"Torino Nord",Chain A,PRD-010,18,1
2023-10-24,STR-104,"Napoli Sud",Chain C,PRD-001,13,29
2023-10-24,STR-104,"Napoli Sud",Chain C,PRD-002,14,7
2023-10-24,STR-104,"Napoli Sud",Chain C,PRD-003,0,11
2023-10-24,STR-104,"Napoli Sud",Chain C,PRD-004,7,13
2023-10-24,STR-104,"Napoli Sud",Chain C,PRD-005,17,13
2023-10-24,STR-104,"Napoli Sud",Chain C,PRD-006,10,1
2023-10-24,STR-104,"Napoli Sud",Chain C,PRD-007,19,14
2023-10-24,STR-104,"Napoli Sud",Chain C,PRD-008,8,7
2023-10-24,STR-104,"Napoli Sud",Chain C,PRD-009,15,0
2023-10-24,STR-104,"Napoli Sud",Chain C,PRD-010,16,22
2023-10-24,STR-105,"Firenze Novoli",Chain B,PRD-001,7,14
2023-10-24,STR-105,"Firenze Novoli",Chain B,PRD-002,15,3
2023-10-24,STR-105,"Firenze Novoli",Chain B,PRD-003,6,17
2023-10-24,STR-105,"Firenze Novoli",Chain B,PRD-004,9,27
2023-10-24,STR-105,"Firenze Novoli",Chain B,PRD-005,1,10
2023-10-24,STR-105,"Firenze Novoli",Chain B,PRD-006,19,20
2023-10-24,STR-105,"Firenze Novoli",Chain B,PRD-007,1,4
2023-10-24,STR-105,"Firenze Novoli",Chain B,PRD-008,6,16
2023-10-24,STR-105,"Firenze Novoli",Chain B,PRD-009,10,28
2023-10-24,STR-105,"Firenze Novoli",Chain B,PRD-010,14,7
