ProductID,ProductName,Category,QuantitySold,CurrentStock,MinOrder,StoreName,Chain
10001,Running Shoes,Accessories,51,97,40,BookHaven East,BookHaven
10002,Laptop Stand,Home Goods,23,103,30,BookHaven South,BookHaven
10003,Laptop Stand,Furniture,81,29,30,SportsWorld West,SportsWorld
10004,Smart Watch,Electronics,34,88,20,BookHaven Downtown,BookHaven
10005,Laptop Stand,Fitness,14,5,30,SportsWorld North,SportsWorld
10006,Coffee Maker,Fitness,3,37,15,MegaMart Outlet,MegaMart
10007,Denim Jeans,Apparel,40,190,30,BookHaven West,BookHaven
10008,Coffee Maker,Apparel,19,12,15,SportsWorld West,SportsWorld
10009,Sci-Fi Novel,Toys,2,63,20,FurniCo East,FurniCo
10010,Sci-Fi Novel,Home Goods,13,4,20,FurniCo Downtown,FurniCo
10011,Desk Lamp,Apparel,54,73,20,MegaMart South,MegaMart
10012,Wireless Headphones,Furniture,141,53,30,SportsWorld Mall,SportsWorld
10013,Mechanical Keyboard,Books,73,47,40,FurniCo Central,FurniCo
10014,Throw Pillow,Toys,126,41,20,SportsWorld Mall,SportsWorld
10015,Ergonomic Chair,Fitness,53,4,10,TechStore East,TechStore
10016,Gaming Mouse,Accessories,70,190,40,SportsWorld Downtown,SportsWorld
10017,Yoga Mat,Books,26,84,20,SportsWorld Downtown,SportsWorld
10018,Laptop Stand,Accessories,0,25,30,SportsWorld North,SportsWorld
10019,Yoga Mat,Fitness,12,67,20,FurniCo West,FurniCo
10020,Throw Pillow,Fitness,134,3,20,FurniCo Uptown,FurniCo
10021,Cotton T-Shirt,Fitness,26,327,50,FurniCo Central,FurniCo
10022,Desk Lamp,Accessories,35,79,20,MegaMart Central,MegaMart
10023,Running Shoes,Apparel,110,48,40,SportsWorld Central,SportsWorld
10024,Resistance Bands,Electronics,18,144,40,MegaMart East,MegaMart
10025,Desk Lamp,Furniture,48,3,20,SportsWorld Central,SportsWorld
10026,Ergonomic Chair,Accessories,28,51,10,BookHaven Outlet,BookHaven
10027,Gaming Mouse,Electronics,62,179,40,BookHaven West,BookHaven
10028,Action Figure Set,Toys,68,104,15,BookHaven Plaza,BookHaven
10029,Fitness Tracker,Accessories,33,34,30,TechStore North,TechStore
10030,Standing Desk,Accessories,19,0,5,BookHaven South,BookHaven
10031,Smart Watch,Furniture,46,80,20,TechStore North,TechStore
10032,Gaming Mouse,Apparel,194,56,40,FurniCo Uptown,FurniCo
10033,Standing Desk,Electronics,14,4,5,BookHaven Uptown,BookHaven
10034,Yoga Mat,Electronics,4,65,20,MegaMart North,MegaMart
10035,Desk Lamp,Apparel,49,65,20,TechStore East,TechStore
10036,Yoga Mat,Fitness,45,36,20,MegaMart Central,MegaMart
10037,Gaming Mouse,Fitness,110,102,40,TechStore Plaza,TechStore
10038,Fitness Tracker,Toys,31,34,30,MegaMart Plaza,MegaMart
10039,Throw Pillow,Books,149,84,20,MegaMart West,MegaMart
10040,Smart Watch,Accessories,44,8,20,BookHaven Outlet,BookHaven
10041,Wireless Headphones,Toys,105,111,30,BookHaven Outlet,BookHaven
10042,Yoga Mat,Furniture,33,121,20,SportsWorld Uptown,SportsWorld
10043,Cotton T-Shirt,Fitness,374,340,50,FurniCo Outlet,FurniCo
10044,Desk Lamp,Electronics,12,41,20,FurniCo West,FurniCo
10045,Resistance Bands,Fitness,226,4,40,SportsWorld South,SportsWorld
10046,Desk Lamp,Toys,11,67,20,TechStore Uptown,TechStore
10047,Fitness Tracker,Apparel,8,125,30,FurniCo Uptown,FurniCo
10048,Running Shoes,Fitness,114,137,40,FurniCo West,FurniCo
10049,Fitness Tracker,Furniture,8,122,30,BookHaven North,BookHaven
10050,Standing Desk,Furniture,10,0,5,SportsWorld Plaza,SportsWorld
10051,Coffee Maker,Home Goods,14,7,15,MegaMart North,MegaMart
10052,Running Shoes,Accessories,37,106,40,BookHaven East,BookHaven
10053,Throw Pillow,Fitness,57,51,20,SportsWorld West,SportsWorld
10054,Yoga Mat,Furniture,77,27,20,SportsWorld North,SportsWorld
10055,Water Bottle,Fitness,5,10,50,BookHaven Uptown,BookHaven
